"N","Censoring","effect_size","seed","Parameter","TrueValue","MeanEst","Bias","ESE","ASE","MSE","CP","sigma2"
200,"Low","Small",3,"beta0_1",1,1.00666759852148,0.00666759852148169,0.151891515355528,0.153121783839208,0.0230001341448571,0.955,0
200,"Low","Small",3,"beta0_2",1,0.998596693879581,-0.00140330612041906,0.0866270649655828,0.0876742256588006,0.00746869641069616,0.96,0
500,"Low","Small",3,"beta0_1",1,0.999331656061252,-0.000668343938747706,0.10005360375469,0.0957427061880793,0.00996111668979947,0.95,0
500,"Low","Small",3,"beta0_2",1,1.00199163115593,0.00199163115592738,0.0591702964891513,0.0553251085092903,0.00348758496134226,0.94,0
200,"High","Small",3,"beta0_1",1,1.0104592940743,0.0104592940743018,0.166495581574587,0.166478602283383,0.0276915716229734,0.92,0
200,"High","Small",3,"beta0_2",1,0.992717082523358,-0.00728291747664189,0.094952967273393,0.0952655259685286,0.00902402655102351,0.95,0
500,"High","Small",3,"beta0_1",1,0.988242681529286,-0.0117573184707145,0.108962305554386,0.106228145950228,0.0119516546491905,0.92,0
500,"High","Small",3,"beta0_2",1,0.995532165201346,-0.00446783479865387,0.0550652534002206,0.0607385630534102,0.00303698276915842,0.975,0
200,"Low","Small",3,"beta0_1",1,1.01003405716851,0.0100340571685091,0.180128974298382,0.185039044930467,0.0323848974481392,0.945,0.1
200,"Low","Small",3,"beta0_2",1,0.9973992155451,-0.00260078445490031,0.113121491166965,0.105628447310812,0.0127392534847993,0.925,0.1
500,"Low","Small",3,"beta0_1",1,0.999442485531517,-0.000557514468482956,0.109909881664903,0.116913410776408,0.0120200919995375,0.945,0.1
500,"Low","Small",3,"beta0_2",1,1.00872438216821,0.00872438216820659,0.0668202872133605,0.0667772116015928,0.00451874087357654,0.935,0.1
200,"High","Small",3,"beta0_1",1,1.01809551154393,0.0180955115439272,0.206500822978234,0.196217361112015,0.0427568244792707,0.935,0.1
200,"High","Small",3,"beta0_2",1,0.998045886916516,-0.00195411308348381,0.110971276329462,0.111971695966731,0.0122568696072819,0.95,0.1
500,"High","Small",3,"beta0_1",1,1.00505561128389,0.00505561128389331,0.128442021349177,0.126298713158694,0.016440425289475,0.95,0.1
500,"High","Small",3,"beta0_2",1,0.996470994327125,-0.00352900567287473,0.0751758873570697,0.07178042936816,0.0056356108507624,0.945,0.1
200,"Low","Small",3,"beta0_1",1,1.01709624288299,0.0170962428829906,0.237418948129201,0.224886291010238,0.0563781996668367,0.92,0.25
200,"Low","Small",3,"beta0_2",1,1.00781254665193,0.00781254665193232,0.134050589035924,0.127375357819515,0.0179407485039625,0.93,0.25
500,"Low","Small",3,"beta0_1",1,0.99031716477161,-0.00968283522839042,0.135526482827351,0.142651145802011,0.0183693477078746,0.94,0.25
500,"Low","Small",3,"beta0_2",1,0.995114079844829,-0.00488592015517075,0.0857994751506743,0.0812181470990608,0.00734861440221322,0.92,0.25
200,"High","Small",3,"beta0_1",1,1.00423993667286,0.00423993667285805,0.237959816302743,0.23865452948068,0.0563597268669509,0.955,0.25
200,"High","Small",3,"beta0_2",1,1.00315351913043,0.00315351913042905,0.149325493360561,0.136586343502614,0.0221965571354439,0.925,0.25
500,"High","Small",3,"beta0_1",1,0.983869341835276,-0.0161306581647241,0.149466864775435,0.152399153072294,0.0224888400802964,0.96,0.25
500,"High","Small",3,"beta0_2",1,0.998404517944581,-0.00159548205541926,0.08241549605882,0.0868679507507898,0.00676089798365743,0.95,0.25
200,"Low","Small",3,"beta0_1",1,0.979174184477633,-0.0208258155223671,0.286350436894349,0.277461312835712,0.082020304438208,0.925,0.5
200,"Low","Small",3,"beta0_2",1,1.0061405940796,0.00614059407960466,0.155440766553057,0.158968853573321,0.0240787296427193,0.93,0.5
500,"Low","Small",3,"beta0_1",1,0.983032487318341,-0.0169675126816594,0.179536191269038,0.182070989452006,0.0323599742421181,0.96,0.5
500,"Low","Small",3,"beta0_2",1,0.993144176965283,-0.00685582303471699,0.0989245606706508,0.102382835045307,0.00978414066984521,0.955,0.5
200,"High","Small",3,"beta0_1",1,0.963734454960857,-0.0362655450391434,0.294263109245318,0.287976761232517,0.0874730133323945,0.945,0.5
200,"High","Small",3,"beta0_2",1,1.00888464520712,0.00888464520712162,0.172423478579988,0.164758791602523,0.029660143606252,0.94,0.5
500,"High","Small",3,"beta0_1",1,0.984287217667072,-0.0157127823329285,0.209843637153123,0.190457565388544,0.0440610718220253,0.925,0.5
500,"High","Small",3,"beta0_2",1,0.984182582647555,-0.0158174173524446,0.107330855647366,0.109397566985054,0.0117125037028272,0.95,0.5
